Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R98459
Device ID:,,Box 1 newV
,,
,,Channel 1
Date,Time,Voltage (ppm)
8/29/22,2:13:37 PM,320.7
8/29/22,2:13:38 PM,320.2
8/29/22,2:13:39 PM,320.7
8/29/22,2:13:40 PM,320.7
8/29/22,2:13:41 PM,321.2
8/29/22,2:13:42 PM,321.2
8/29/22,2:13:43 PM,321.7
8/29/22,2:13:44 PM,321.7
8/29/22,2:13:45 PM,321.2
8/29/22,2:13:46 PM,321.2
8/29/22,2:13:47 PM,320.7
8/29/22,2:13:48 PM,320.2
8/29/22,2:13:49 PM,320.2
8/29/22,2:13:50 PM,320.7
8/29/22,2:13:51 PM,321.2
8/29/22,2:13:52 PM,321.2
8/29/22,2:13:53 PM,321.7
8/29/22,2:13:54 PM,321.7
8/29/22,2:13:55 PM,321.2
8/29/22,2:13:56 PM,321.2
8/29/22,2:13:57 PM,320.7
8/29/22,2:13:58 PM,320.2
8/29/22,2:13:59 PM,320.2
8/29/22,2:14:00 PM,320.7
8/29/22,2:14:01 PM,320.7
8/29/22,2:14:02 PM,321.2
8/29/22,2:14:03 PM,321.7
8/29/22,2:14:04 PM,321.7
8/29/22,2:14:05 PM,321.2
8/29/22,2:14:06 PM,321.2
8/29/22,2:14:07 PM,320.7
8/29/22,2:14:08 PM,320.2
8/29/22,2:14:09 PM,320.2
8/29/22,2:14:10 PM,320.7
8/29/22,2:14:11 PM,321.2
8/29/22,2:14:12 PM,321.2
8/29/22,2:14:13 PM,321.7
8/29/22,2:14:14 PM,321.7
8/29/22,2:14:15 PM,321.2
8/29/22,2:14:16 PM,321.2
8/29/22,2:14:17 PM,320.7
8/29/22,2:14:18 PM,320.7
8/29/22,2:14:19 PM,320.2
8/29/22,2:14:20 PM,320.7
8/29/22,2:14:21 PM,320.7
8/29/22,2:14:22 PM,321.2
8/29/22,2:14:23 PM,321.2
8/29/22,2:14:24 PM,321.7
8/29/22,2:14:25 PM,321.2
8/29/22,2:14:26 PM,321.2
8/29/22,2:14:27 PM,321.2
8/29/22,2:14:28 PM,320.7
8/29/22,2:14:29 PM,320.2
8/29/22,2:14:30 PM,320.7
8/29/22,2:14:31 PM,320.7
8/29/22,2:14:32 PM,320.7
8/29/22,2:14:33 PM,321.2
8/29/22,2:14:34 PM,321.7
8/29/22,2:14:35 PM,321.7
8/29/22,2:14:36 PM,321.2
8/29/22,2:14:37 PM,321.2
8/29/22,2:14:38 PM,320.7
8/29/22,2:14:39 PM,320.2
8/29/22,2:14:40 PM,320.7
8/29/22,2:14:41 PM,320.7
8/29/22,2:14:42 PM,321.2
8/29/22,2:14:43 PM,321.2
8/29/22,2:14:44 PM,321.7
8/29/22,2:14:45 PM,321.7
8/29/22,2:14:46 PM,321.2
8/29/22,2:14:47 PM,321.2
8/29/22,2:14:48 PM,320.7
8/29/22,2:14:49 PM,320.2
8/29/22,2:14:50 PM,320.2
8/29/22,2:14:51 PM,320.7
8/29/22,2:14:52 PM,321.2
8/29/22,2:14:53 PM,321.2
8/29/22,2:14:54 PM,321.7
8/29/22,2:14:55 PM,321.7
8/29/22,2:14:56 PM,321.2
8/29/22,2:14:57 PM,321.2
8/29/22,2:14:58 PM,320.7
8/29/22,2:14:59 PM,320.2
8/29/22,2:15:00 PM,320.2
8/29/22,2:15:01 PM,320.7
8/29/22,2:15:02 PM,321.2
8/29/22,2:15:03 PM,321.2
8/29/22,2:15:04 PM,321.7
8/29/22,2:15:05 PM,321.7
8/29/22,2:15:06 PM,321.2
8/29/22,2:15:07 PM,321.2
8/29/22,2:15:08 PM,320.7
8/29/22,2:15:09 PM,320.2
8/29/22,2:15:10 PM,320.2
8/29/22,2:15:11 PM,320.7
8/29/22,2:15:12 PM,320.7
8/29/22,2:15:13 PM,321.2
8/29/22,2:15:14 PM,321.7
8/29/22,2:15:15 PM,321.7
8/29/22,2:15:16 PM,321.2
8/29/22,2:15:17 PM,321.2
8/29/22,2:15:18 PM,321.2
8/29/22,2:15:19 PM,320.7
8/29/22,2:15:20 PM,320.2
8/29/22,2:15:21 PM,320.7
8/29/22,2:15:22 PM,320.7
8/29/22,2:15:23 PM,321.2
8/29/22,2:15:24 PM,321.2
8/29/22,2:15:25 PM,321.7
8/29/22,2:15:26 PM,321.2
8/29/22,2:15:27 PM,321.2
8/29/22,2:15:28 PM,321.2
8/29/22,2:15:29 PM,320.7
8/29/22,2:15:30 PM,320.2
8/29/22,2:15:31 PM,320.2
8/29/22,2:15:32 PM,320.7
8/29/22,2:15:33 PM,321.2
8/29/22,2:15:34 PM,321.2
8/29/22,2:15:35 PM,321.7
8/29/22,2:15:36 PM,321.7
8/29/22,2:15:37 PM,321.2
8/29/22,2:15:38 PM,321.2
8/29/22,2:15:39 PM,320.7
8/29/22,2:15:40 PM,320.2
8/29/22,2:15:41 PM,320.2
8/29/22,2:15:42 PM,320.7
8/29/22,2:15:43 PM,320.7
8/29/22,2:15:44 PM,321.2
8/29/22,2:15:45 PM,321.7
8/29/22,2:15:46 PM,321.7
8/29/22,2:15:47 PM,321.2
8/29/22,2:15:48 PM,321.2
8/29/22,2:15:49 PM,320.7
8/29/22,2:15:50 PM,320.2
8/29/22,2:15:51 PM,320.2
8/29/22,2:15:52 PM,320.7
8/29/22,2:15:53 PM,472.1
8/29/22,2:15:54 PM,7
8/29/22,2:15:55 PM,804.9
8/29/22,2:15:56 PM,468.6
8/29/22,2:15:57 PM,6
8/29/22,2:15:58 PM,5.5
8/29/22,2:15:59 PM,6
8/29/22,2:16:00 PM,6.5
8/29/22,2:16:01 PM,6.5
8/29/22,2:16:02 PM,7
8/29/22,2:16:03 PM,7.5
8/29/22,2:16:04 PM,7
8/29/22,2:16:05 PM,6.5
8/29/22,2:16:06 PM,6.5
8/29/22,2:16:07 PM,6.5
8/29/22,2:16:08 PM,385.4
8/29/22,2:16:09 PM,385.9
8/29/22,2:16:10 PM,386.4
8/29/22,2:16:11 PM,386.4
8/29/22,2:16:12 PM,386.9
8/29/22,2:16:13 PM,387.4
8/29/22,2:16:14 PM,387.4
8/29/22,2:16:15 PM,386.9
8/29/22,2:16:16 PM,386.9
8/29/22,2:16:17 PM,386.4
8/29/22,2:16:18 PM,385.9
8/29/22,2:16:19 PM,385.4
8/29/22,2:16:20 PM,383.9
8/29/22,2:16:21 PM,384.4
8/29/22,2:16:22 PM,384.4
8/29/22,2:16:23 PM,384.9
8/29/22,2:16:24 PM,384.9
8/29/22,2:16:25 PM,384.4
8/29/22,2:16:26 PM,384.4
8/29/22,2:16:27 PM,384.4
8/29/22,2:16:28 PM,383.4
8/29/22,2:16:29 PM,385.9
8/29/22,2:16:30 PM,386.4
8/29/22,2:16:31 PM,386.9
8/29/22,2:16:32 PM,386.9
8/29/22,2:16:33 PM,387.4
8/29/22,2:16:34 PM,387.4
8/29/22,2:16:35 PM,386.9
8/29/22,2:16:36 PM,386.9
8/29/22,2:16:37 PM,386.9
8/29/22,2:16:38 PM,386.4
8/29/22,2:16:39 PM,385.9
8/29/22,2:16:40 PM,386.4
8/29/22,2:16:41 PM,386.9
8/29/22,2:16:42 PM,386.9
8/29/22,2:16:43 PM,386.9
8/29/22,2:16:44 PM,387.4
8/29/22,2:16:45 PM,384.9
8/29/22,2:16:46 PM,384.4
8/29/22,2:16:47 PM,384.4
8/29/22,2:16:48 PM,383.9
8/29/22,2:16:49 PM,383.4
8/29/22,2:16:50 PM,383.9
8/29/22,2:16:51 PM,383.9
8/29/22,2:16:52 PM,384.4
8/29/22,2:16:53 PM,381.9
8/29/22,2:16:54 PM,382.4
8/29/22,2:16:55 PM,382.4
8/29/22,2:16:56 PM,381.9
8/29/22,2:16:57 PM,381.9
8/29/22,2:16:58 PM,381.4
8/29/22,2:16:59 PM,378.4
8/29/22,2:17:00 PM,378.4
8/29/22,2:17:01 PM,376.4
8/29/22,2:17:02 PM,376.9
8/29/22,2:17:03 PM,376.9
8/29/22,2:17:04 PM,377.4
8/29/22,2:17:05 PM,374.9
8/29/22,2:17:06 PM,374.4
8/29/22,2:17:07 PM,371.9
8/29/22,2:17:08 PM,371.4
8/29/22,2:17:09 PM,371.4
8/29/22,2:17:10 PM,370.4
8/29/22,2:17:11 PM,368.9
8/29/22,2:17:12 PM,367.9
8/29/22,2:17:13 PM,366.4
8/29/22,2:17:14 PM,365.3
8/29/22,2:17:15 PM,364.8
8/29/22,2:17:16 PM,362.3
8/29/22,2:17:17 PM,361.8
8/29/22,2:17:18 PM,359.3
8/29/22,2:17:19 PM,358.8
8/29/22,2:17:20 PM,358.3
8/29/22,2:17:21 PM,358.3
8/29/22,2:17:22 PM,356.3
8/29/22,2:17:23 PM,356.3
8/29/22,2:17:24 PM,354.3
8/29/22,2:17:25 PM,354.8
8/29/22,2:17:26 PM,352.3
8/29/22,2:17:27 PM,351.3
8/29/22,2:17:28 PM,348.8
8/29/22,2:17:29 PM,348.8
8/29/22,2:17:30 PM,345.8
8/29/22,2:17:31 PM,345.8
8/29/22,2:17:32 PM,343.8
8/29/22,2:17:33 PM,343.8
8/29/22,2:17:34 PM,341.3
8/29/22,2:17:35 PM,342.3
8/29/22,2:17:36 PM,339.8
8/29/22,2:17:37 PM,339.3
8/29/22,2:17:38 PM,336.3
8/29/22,2:17:39 PM,336.3
8/29/22,2:17:40 PM,333.3
8/29/22,2:17:41 PM,332.8
8/29/22,2:17:42 PM,333.3
8/29/22,2:17:43 PM,333.8
8/29/22,2:17:44 PM,331.3
8/29/22,2:17:45 PM,331.8
8/29/22,2:17:46 PM,332.3
8/29/22,2:17:47 PM,331.8
8/29/22,2:17:48 PM,331.3
8/29/22,2:17:49 PM,331.3
8/29/22,2:17:50 PM,328.3
8/29/22,2:17:51 PM,327.8
8/29/22,2:17:52 PM,328.3
8/29/22,2:17:53 PM,328.8
8/29/22,2:17:54 PM,328.8
8/29/22,2:17:55 PM,329.3
8/29/22,2:17:56 PM,329.8
8/29/22,2:17:57 PM,329.3
8/29/22,2:17:58 PM,328.8
8/29/22,2:17:59 PM,328.8
8/29/22,2:18:00 PM,328.8
8/29/22,2:18:01 PM,327.8
8/29/22,2:18:02 PM,328.3
8/29/22,2:18:03 PM,328.8
8/29/22,2:18:04 PM,328.8
8/29/22,2:18:05 PM,327.3
8/29/22,2:18:06 PM,326.8
8/29/22,2:18:07 PM,326.8
8/29/22,2:18:08 PM,326.3
8/29/22,2:18:09 PM,326.3
8/29/22,2:18:10 PM,326.3
8/29/22,2:18:11 PM,325.8
8/29/22,2:18:12 PM,325.3
8/29/22,2:18:13 PM,325.8
8/29/22,2:18:14 PM,326.3
8/29/22,2:18:15 PM,326.3
8/29/22,2:18:16 PM,326.8
8/29/22,2:18:17 PM,324.8
8/29/22,2:18:18 PM,323.8
8/29/22,2:18:19 PM,323.8
8/29/22,2:18:20 PM,323.8
8/29/22,2:18:21 PM,323.3
8/29/22,2:18:22 PM,322.7
8/29/22,2:18:23 PM,323.3
8/29/22,2:18:24 PM,323.8
8/29/22,2:18:25 PM,323.8
8/29/22,2:18:26 PM,324.3
8/29/22,2:18:27 PM,324.8
8/29/22,2:18:28 PM,324.3
8/29/22,2:18:29 PM,321.2
8/29/22,2:18:30 PM,321.2
8/29/22,2:18:31 PM,320.7
8/29/22,2:18:32 PM,320.2
8/29/22,2:18:33 PM,320.7
8/29/22,2:18:34 PM,321.2
8/29/22,2:18:35 PM,321.2
8/29/22,2:18:36 PM,321.2
8/29/22,2:18:37 PM,321.7
8/29/22,2:18:38 PM,321.7
8/29/22,2:18:39 PM,321.2
8/29/22,2:18:40 PM,321.2
8/29/22,2:18:41 PM,321.2
8/29/22,2:18:42 PM,320.7
8/29/22,2:18:43 PM,320.2
8/29/22,2:18:44 PM,321.2
8/29/22,2:18:45 PM,318.7
8/29/22,2:18:46 PM,318.7
8/29/22,2:18:47 PM,319.2
8/29/22,2:18:48 PM,319.7
8/29/22,2:18:49 PM,318.7
8/29/22,2:18:50 PM,318.7
8/29/22,2:18:51 PM,316.2
8/29/22,2:18:52 PM,315.7
8/29/22,2:18:53 PM,315.2
8/29/22,2:18:54 PM,314.7
8/29/22,2:18:55 PM,313.7
8/29/22,2:18:56 PM,313.7
8/29/22,2:18:57 PM,313.7
8/29/22,2:18:58 PM,314.7
8/29/22,2:18:59 PM,314.2
8/29/22,2:19:00 PM,311.7
8/29/22,2:19:01 PM,311.2
8/29/22,2:19:02 PM,310.7
8/29/22,2:19:03 PM,310.2
8/29/22,2:19:04 PM,310.7
8/29/22,2:19:05 PM,310.7
8/29/22,2:19:06 PM,311.2
8/29/22,2:19:07 PM,311.2
8/29/22,2:19:08 PM,309.7
8/29/22,2:19:09 PM,309.2
8/29/22,2:19:10 PM,308.7
8/29/22,2:19:11 PM,308.7
8/29/22,2:19:12 PM,308.2
8/29/22,2:19:13 PM,307.7
