"Plot Title: Baro_2022-08-29"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20175475, SEN S/N: 20175475)","Temp, °C (LGR S/N: 20175475, SEN S/N: 20175475)","Coupler Detached (LGR S/N: 20175475)","Coupler Attached (LGR S/N: 20175475)","Host Connected (LGR S/N: 20175475)","Stopped (LGR S/N: 20175475)","End Of File (LGR S/N: 20175475)"
1,08/29/22 11:59:30 AM,101.805,34.796,,,,,
2,08/29/22 11:59:34 AM,,,Logged,,,,
3,08/29/22 11:59:40 AM,101.775,34.796,,,,,
4,08/29/22 11:59:50 AM,101.775,34.796,,,,,
5,08/29/22 12:00:00 PM,101.788,34.903,,,,,
6,08/29/22 12:00:10 PM,101.778,34.903,,,,,
7,08/29/22 12:00:20 PM,101.778,34.903,,,,,
8,08/29/22 12:00:30 PM,101.782,35.009,,,,,
9,08/29/22 12:00:40 PM,101.782,35.009,,,,,
10,08/29/22 12:00:50 PM,101.782,35.009,,,,,
11,08/29/22 12:01:00 PM,101.786,35.115,,,,,
12,08/29/22 12:01:10 PM,101.786,35.115,,,,,
13,08/29/22 12:01:20 PM,101.779,35.222,,,,,
14,08/29/22 12:01:30 PM,101.783,35.328,,,,,
15,08/29/22 12:01:40 PM,101.777,35.435,,,,,
16,08/29/22 12:01:50 PM,101.777,35.435,,,,,
17,08/29/22 12:02:00 PM,101.800,35.542,,,,,
18,08/29/22 12:02:10 PM,101.774,35.649,,,,,
19,08/29/22 12:02:20 PM,101.778,35.756,,,,,
20,08/29/22 12:02:30 PM,101.781,35.864,,,,,
21,08/29/22 12:02:40 PM,101.785,35.971,,,,,
22,08/29/22 12:02:50 PM,101.775,35.971,,,,,
23,08/29/22 12:03:00 PM,101.779,36.079,,,,,
24,08/29/22 12:03:10 PM,101.782,36.187,,,,,
25,08/29/22 12:03:20 PM,101.776,36.295,,,,,
26,08/29/22 12:03:30 PM,101.776,36.295,,,,,
27,08/29/22 12:03:40 PM,101.770,36.403,,,,,
28,08/29/22 12:03:50 PM,101.773,36.511,,,,,
29,08/29/22 12:04:00 PM,101.767,36.620,,,,,
30,08/29/22 12:04:10 PM,101.767,36.620,,,,,
31,08/29/22 12:04:20 PM,101.781,36.728,,,,,
32,08/29/22 12:04:30 PM,101.775,36.837,,,,,
33,08/29/22 12:04:40 PM,101.768,36.946,,,,,
34,08/29/22 12:04:50 PM,101.768,36.946,,,,,
35,08/29/22 12:05:00 PM,101.772,37.055,,,,,
36,08/29/22 12:05:10 PM,101.766,37.165,,,,,
37,08/29/22 12:05:20 PM,101.756,37.165,,,,,
38,08/29/22 12:05:30 PM,101.770,37.274,,,,,
39,08/29/22 12:05:40 PM,101.763,37.384,,,,,
